seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	1476354	1476364	11	*	X0120	339453	1470158	1475740	5583	-	613	upstream	613	TMEM240
chr1	6581495	6581506	12	*	X0158	57449	6526152	6580121	53970	-	1373	upstream	1373	PLEKHG5
chr1	153605210	153605224	15	*	X0499	26097	153606458	153618782	12325	+	1233	upstream	1233	CHTOP
chr1	155226308	155226316	9	*	X0512	10712	155216996	155225274	8279	-	1033	upstream	1033	FAM189B
chr1	229405644	229405651	8	*	X0661	5867	229406809	229441640	34832	+	1157	upstream	1157	RAB4A
chr10	75119663	75119678	16	*	X0822	118491	75013516	75118617	105102	-	1045	upstream	1045	CFAP70
chr10	114205250	114205258	9	*	X0864	143187	114206756	114578504	371749	+	1497	upstream	1497	VTI1A
chr11	509160	509168	9	*	X0892	6050	494512	507283	12772	-	1876	upstream	1876	RNH1
chr11	779497	779510	14	*	X0901	171391	779454	780755	1302	+	0	inside	42	LOC171391
chr11	6623039	6623049	11	*	X0934	3611	6624964	6632099	7136	+	1914	upstream	1914	ILK
chr11	8705238	8705248	11	*	X0936	619562	8705774	8705903	130	+	525	upstream	525	SNORA3A
chr11	8705238	8705248	11	*	X0936	677826	8706986	8707116	131	+	1737	upstream	1737	SNORA3B
chr11	47601570	47601582	13	*	X0978	55709	47593749	47600567	6819	-	1002	upstream	1002	KBTBD4
chr11	47601606	47601624	19	*	X0979	55709	47593749	47600567	6819	-	1038	upstream	1038	KBTBD4
chr11	62430792	62430800	9	*	X1003	751071	62432779	62435954	3176	+	1978	upstream	1978	CSKMT
chr11	67801294	67801302	9	*	X1053	100616403	67801364	67801448	85	+	61	upstream	61	MIR4691
chr11	93454862	93454867	6	*	X1086	619383	93454680	93455032	353	+	0	inside	181	SCARNA9
chr12	49051389	49051417	29	*	X1184	677793	49050431	49050565	135	-	823	upstream	823	SNORA2A
chr12	53341963	53341973	11	*	X1193	3875	53342655	53346685	4031	+	681	upstream	681	KRT18
chr12	53576749	53576757	9	*	X1195	51380	53551447	53575135	23689	-	1613	upstream	1613	CSAD
chr12	56362068	56362076	9	*	X1205	6490	56347889	56360496	12608	-	1571	upstream	1571	PMEL
chr12	132630458	132630466	9	*	X1413	317781	132621140	132628880	7741	-	1577	upstream	1577	DDX51
chr16	735681	735689	9	*	X1811	339123	731667	734439	2773	-	1241	upstream	1241	JMJD8
chr16	2284628	2284637	10	*	X1838	1775	2286424	2288712	2289	+	1786	upstream	1786	DNASE1L2
chr16	2302927	2302936	10	*	X1839	1632	2289873	2301602	11730	-	1324	upstream	1324	ECI1
chr16	28995268	28995276	9	*	X1928	27040	28995526	29002104	6579	+	249	upstream	249	LAT
chr16	29831229	29831241	13	*	X1941	9961	29831715	29859360	27646	+	473	upstream	473	MVP
chr16	29831266	29831278	13	*	X1942	9961	29831715	29859360	27646	+	436	upstream	436	MVP
chr16	30775230	30775238	9	*	X1954	90835	30768744	30773565	4822	-	1664	upstream	1664	CCDC189
chr16	30775244	30775252	9	*	X1955	90835	30768744	30773565	4822	-	1678	upstream	1678	CCDC189
chr16	66600305	66600313	9	*	X2004	113540	66600294	66613038	12745	+	0	inside	10	CMTM1
chr16	69365865	69365873	9	*	X2026	64146	69362524	69364498	1975	-	1366	upstream	1366	PDF
chr16	69386119	69386127	9	*	X2027	146456	69377149	69385712	8564	-	406	upstream	406	TMED6
chr16	81697442	81697450	9	*	X2068	100129617	81698959	81700879	1921	+	1508	upstream	1508	LOC100129617
chr17	7138128	7138137	10	*	X2254	1856	7128661	7137863	9203	-	264	upstream	264	DVL2
chr17	7479913	7479921	9	*	X2255	26781	7481273	7481409	137	+	1351	upstream	1351	SNORA67
chr17	7479913	7479921	9	*	X2255	652966	7480129	7480276	148	+	207	upstream	207	SNORD10
chr17	8280263	8280271	9	*	X2257	124751	8271973	8280029	8057	-	233	upstream	233	KRBA2
chr17	26880659	26880694	36	*	X2281	9094	26873725	26879646	5922	-	1012	upstream	1012	UNC119
chr17	40994687	40994688	2	*	X2380	314	40996609	41002724	6116	+	1920	upstream	1920	AOC2
chr17	40995322	40995323	2	*	X2381	314	40996609	41002724	6116	+	1285	upstream	1285	AOC2
chr17	56407763	56407772	10	*	X2426	9256	56378588	56406152	27565	-	1610	upstream	1610	TSPOAP1
chr17	79602568	79602576	9	*	X2534	83882	79604197	79615779	11583	+	1620	upstream	1620	TSPAN10
chr19	1816751	1816760	10	*	X2721	100302210	1816158	1816237	80	-	513	upstream	513	MIR1909
chr19	6418311	6418319	9	*	X2873	100500888	6416421	6416522	102	-	1788	upstream	1788	MIR3940
chr19	14065201	14065209	9	*	X2966	79883	14042000	14064204	22205	-	996	upstream	996	PODNL1
chr19	40325124	40325133	10	*	X3081	9149	40315990	40324841	8852	-	282	upstream	282	DYRK1B
chr19	50435090	50435099	10	*	X3181	100616483	50436321	50436394	74	+	1221	upstream	1221	MIR4751
chr19	58905674	58905687	14	*	X3219	646862	58907457	58908446	990	+	1769	upstream	1769	RNF225
chr2	27558335	27558344	10	*	X3282	100505624	27558409	27560670	2262	+	64	upstream	64	GTF3C2-AS1
chr2	86360985	86360993	9	*	X3365	692225	86362993	86363129	137	+	1999	upstream	1999	SNORD94
chr2	201830046	201830054	9	*	X3507	4999	201774894	201828424	53531	-	1621	upstream	1621	ORC2
chr20	37055640	37055677	38	*	X3610	26776	37053843	37053978	136	-	1661	upstream	1661	SNORA71B
chr20	62365558	62365562	5	*	X3711	54923	62367053	62370460	3408	+	1490	upstream	1490	LIME1
chr21	34620134	34620144	11	*	X3736	3588	34621014	34669539	48526	+	869	upstream	869	IL10RB
